url,price,currency,retailer_sku,datepulled,sku1,sku2,sku3,sku4
https://www.homedepot.com/p/Milwaukee-M18-FUEL-18V-Lithium-Ion-Brushless-Cordless-1-2-in-Compact-Impact-Wrench-PD-Kit-w-PO-SAE-Metric-Socket-Set-31-Piece-2855P-22R-49-66-6806/324154138,599,USD,,10/28/2025,2855P-22R,49-66-6806,,
https://www.homedepot.com/p/Milwaukee-1-3-8-in-High-Carbon-Steel-Universal-Fit-Wood-Cutting-Multi-Tool-Oscillating-Blade-1-Pack-49-25-1101/313769162,14.97,USD,,10/28/2025,49-25-1101,,,
https://www.homedepot.com/p/Milwaukee-1-7-8-in-Extension-Wand-for-Wet-Dry-Shop-Vacuums-1-Piece-49-90-1987/319228961,11.99,USD,,10/28/2025,49-90-1987,,,
https://www.homedepot.com/p/Milwaukee-1-7-8-in-Floor-Utility-Nozzle-for-Wet-Dry-Shop-Vacuums-1-Piece-49-90-2011/319231495,11.99,USD,,10/28/2025,49-90-2011,,,
https://www.homedepot.com/p/Milwaukee-1-2-in-x-50-ft-Inner-Core-Coupling-Cable-with-Rustguard-48-53-2774/303362044,209,USD,,10/28/2025,48-53-2774,,,
https://www.homedepot.com/p/Milwaukee-M18-18-Volt-Lithium-Ion-Cordless-100-ft-Inspection-Camera-Bare-Tool-2972-20/324810112,4239,USD,,10/28/2025,2972-20,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Battery-1-Gal-Chemical-Sprayer-Tool-Only-P2800BTL/206485323,109,USD,,10/28/2025,P2800BTL,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Battery-1-Gal-Chemical-Sprayer-with-2-0-Ah-Battery-and-Charger-P2810/206339956,109,USD,,10/28/2025,P2810,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-1-Gal-Spreader-Tool-Only-P2402BTL/308848492,59.97,USD,,10/28/2025,P2402BTL,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-1-Gal-Wet-Dry-Vacuum-Tool-Only-PCL733B/320032946,49.97,USD,,10/28/2025,PCL733B,,,
